Epoch,Train Loss,Train Acc,Val Acc,ECE,Adaptive ECE,OE
190,2.2844,0.5107,0.6616,0.1600,0.1600,0.0000
191,2.3560,0.4951,0.6548,0.1559,0.1556,0.0000
192,2.3850,0.4891,0.6570,0.1731,0.1731,0.0000
193,2.2806,0.5125,0.6550,0.1620,0.1620,0.0000
194,2.3156,0.5078,0.6600,0.1621,0.1621,0.0000
195,2.2812,0.5125,0.6686,0.1540,0.1537,0.0000
196,2.2599,0.5222,0.6660,0.1564,0.1564,0.0000
197,2.2928,0.5090,0.6608,0.1597,0.1597,0.0000
198,2.2859,0.5082,0.6560,0.1593,0.1593,0.0000
199,2.2127,0.5297,0.6628,0.1584,0.1584,0.0000
200,2.2950,0.5097,0.6548,0.1466,0.1466,0.0000
